,precision,recall,f1-score,support
non-clickbait,0.9341317365269461,0.8939828080229226,0.9136163982430454,349.0
clickbait,0.7897727272727273,0.8633540372670807,0.8249258160237388,161.0
accuracy,0.884313725490196,0.884313725490196,0.884313725490196,0.884313725490196
macro avg,0.8619522318998367,0.8786684226450017,0.8692711071333921,510.0
weighted avg,0.8885595787035556,0.884313725490196,0.8856179987581271,510.0
